date,symbol,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-03-13,GOOGL,166.04,166.13,162.11,162.76,162.76,31756214,31756214,-3.28,-1.98,164.26,"March 13, 25",-0.0198
2025-03-14,GOOGL,163.27,166.49,162.45,165.49,165.49,31995900,31995900,2.22,1.36,164.425,"March 14, 25",0.0136
2025-03-17,GOOGL,165.03,166.3,163.67,164.29,164.29,31184335,31184335,-0.74,-0.4484,164.8225,"March 17, 25",-0.004484
2025-03-18,GOOGL,163.68,164.25,156.72,160.67,160.67,42074800,42074800,-3.01,-1.84,161.33,"March 18, 25",-0.0184
2025-03-19,GOOGL,161.76,165.87,161.0,163.89,163.89,34275600,34275600,2.13,1.32,163.13,"March 19, 25",0.0132
2025-03-20,GOOGL,161.57,164.89,160.96,162.8,162.8,28138500,28138500,1.23,0.76128,162.555,"March 20, 25",0.0076128
2025-03-21,GOOGL,161.21,164.24,160.89,163.99,163.99,36625800,36625800,2.78,1.72,162.5825,"March 21, 25",0.0172
2025-03-24,GOOGL,167.07,168.32,165.14,167.68,167.68,30879129,30879129,0.615,0.36512,167.0525,"March 24, 25",0.0036512
2025-03-25,GOOGL,168.98,170.63,168.32,170.56,170.56,24174400,24174400,1.58,0.93502,169.6225,"March 25, 25",0.0093502
2025-03-26,GOOGL,169.0,169.61,164.84,165.06,165.06,28939326,28939326,-3.94,-2.33,167.1275,"March 26, 25",-0.0233
2025-03-27,GOOGL,164.63,165.42,162.0,162.24,162.24,24508300,24508300,-2.39,-1.45,163.5725,"March 27, 25",-0.0145
2025-03-28,GOOGL,160.49,161.82,153.63,154.33,154.33,48669335,48669335,-6.16,-3.84,157.5675,"March 28, 25",-0.0384
2025-03-31,GOOGL,153.11,155.54,150.66,154.64,154.64,54603500,54603500,1.53,0.99928,153.4875,"March 31, 25",0.0099928
2025-04-01,GOOGL,153.62,158.1,153.62,157.07,157.07,30672900,30672900,3.45,2.25,155.6025,"April 01, 25",0.0225
2025-04-02,GOOGL,155.15,158.41,154.7,157.04,157.04,25041730,25041730,1.89,1.22,156.325,"April 02, 25",0.0122
2025-04-03,GOOGL,151.11,152.78,150.39,150.72,150.72,46883400,46883400,-0.39,-0.25809,151.25,"April 03, 25",-0.0025809
2025-04-04,GOOGL,148.01,151.07,145.38,145.6,145.6,62259539,62259539,-2.41,-1.63,147.515,"April 04, 25",-0.0163
2025-04-07,GOOGL,141.55,152.85,140.53,146.75,146.75,76794136,76794136,5.2,3.67,145.42,"April 07, 25",0.0367
2025-04-08,GOOGL,151.22,152.24,143.03,144.7,144.7,52200208,52200208,-6.52,-4.31,147.7975,"April 08, 25",-0.0431
